X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,Class
1,8,0,12632,15789,2,0,2,4,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,271,271,3.5,0,0
1,2,14257,5263,5263,1,1,0,0,0,1,62,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7.25,0,1
1,0,0,21053,26316,0,0,6,225,0,1,0,38,0,0,0,0,0,0,0,0,0,0,0,0,33,165,5,0,0
2,0,0,4883,5263,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
1,0,0,21053,21053,0,0,0,0,0,1,0,0,0,0,210,210,1,1,0,0,0,0,0,0,0,0,3.5,0,0
2,1,0,5263,5263,1,0,0,0,1,0,0,0,1,0,1213,1213,3,3,0,0,0,0,0,0,0,0,6.5,0,0
1,0,0,21895,31579,0,0,4,239,0,1,0,60,0,0,0,0,0,0,0,0,0,0,0,0,25,75,5.5,0,1
1,0,0,8421,8421,0,0,3,325,0,1,0,108,0,0,0,0,0,0,0,0,0,0,0,0,18,36,0,12.25,0
1,0,21053,27789,29474,0,0,2,86,0,2,0,43,0,0,0,0,0,0,0,0,0,21398,21398,0,264,264,5,13.75,0
2,0,0,14739,15789,0,2,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1895,1895,0,0,0,3.5,0,0
2,0,13684,10614,10526,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,5811,5811,0,0,0,3.5,0,0
2,0,6842,4461,5263,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0
2,3,0,3684,3684,1,0,0,0,1,0,0,0,1,0,0,356,0,1,0,0,0,0,0,0,0,0,3.5,0,0
2,0,6568,3674,4526,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0
2,0,0,9988,10526,1,4,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,263,263,0,0,0,4.5,0,0
2,0,0,4242,10526,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0
1,0,0,5263,5263,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.25,0
2,0,0,5310,5263,0,0,0,0,1,0,5,0,0,0,402,402,1,1,0,0,0,0,0,0,0,0,4,0,0
2,0,18474,3675,3684,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3368,3368,0,0,0,4,0,0
1,0,15263,34632,35684,0,0,8,154,0,4,0,19,0,0,1347,1874,1,2,0,0,0,0,0,0,53,317,4.61,0,0
1,0,0,9474,10526,0,0,4,107,0,1,0,27,0,0,0,0,0,0,0,0,0,0,0,0,80,240,4.5,0,0
2,0,9579,7368,7368,0,0,0,0,1,1,0,0,1,0,2359,2359,2,2,0,0,0,4772,4772,0,0,0,3.5,10.5,0
1,0,0,10526,10526,0,0,7,114,0,1,21,16,1,0,0,0,0,0,0,0,0,0,10526,0,28,166,3.5,0,0
2,0,0,5173,5263,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0
1,0,0,5263,5263,0,0,6,123,0,1,0,21,0,0,0,0,0,0,0,0,0,0,0,0,30,151,5.5,0,0
1,0,0,12632,12632,0,0,3,289,0,2,0,96,0,0,0,0,0,0,0,0,0,0,0,0,53,105,3.5,12.25,0
1,0,0,1053,1053,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1053,1053,0,0,0,0,13,1
1,0,0,3614,6316,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0
2,0,0,1070,1053,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0
2,2,0,662,1053,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0
1,6,0,42105,42105,1,0,5,160,0,1,0,32,1,0,0,0,0,0,0,0,54737,0,54737,0,49,194,0,13.75,1
2,0,0,1329,3053,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0
1,0,10526,10526,10526,0,0,7,166,0,1,19,24,0,0,0,0,0,0,0,0,0,0,0,0,23,139,0,14.25,0
1,0,0,6842,15789,0,0,4,315,0,1,0,79,0,0,0,0,0,0,0,0,0,0,0,0,27,80,4,0,1
2,0,6842,4768,5263,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
2,0,4105,3170,3158,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0
1,0,10526,10526,10526,0,0,1,3,0,1,12,3,1,0,737,737,1,1,0,0,0,5754,5754,0,0,0,2,0,0
1,0,0,21053,21053,0,0,0,0,0,3,0,0,0,0,327,2345,1,3,27368,0,27368,5053,32421,27368,0,0,3.88,0,0
2,0,5474,0,4211,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2421,2421,0,0,0,3.5,0,0
2,0,6421,5310,5263,0,2,0,0,1,0,5,0,0,1,144,144,1,1,0,0,0,175,175,0,0,0,3.5,0,0
1,0,10526,10526,10526,0,2,0,0,0,1,33,0,1,1,0,0,0,0,0,0,0,5533,5533,0,0,0,0,14.25,0
1,0,0,7979,10526,0,0,2,116,0,1,0,58,0,0,0,0,0,0,0,0,0,0,0,0,20,20,4,0,0
1,0,0,10526,10526,0,0,5,308,0,1,0,62,0,0,182,578,2,5,0,0,0,634,634,0,30,120,0,13.75,1
2,0,5474,4246,4211,0,0,0,0,1,0,5,0,0,0,308,308,1,1,0,0,0,0,0,0,0,0,4,0,0
1,0,0,21053,21053,0,0,1,4,0,2,0,4,0,0,1537,1537,1,1,27368,0,27368,0,27368,27368,0,0,6.25,10.5,0
1,2,0,1368,5263,2,0,6,224,0,1,0,37,1,0,0,0,0,0,0,0,0,0,0,0,42,210,7,0,1
2,0,3968,3077,2105,0,0,0,0,1,0,5,0,0,0,526,1075,1,2,0,0,0,0,0,0,0,0,3.5,0,0
2,0,1368,596,1053,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0
1,0,0,6060,10526,0,0,8,92,0,1,9,12,0,0,0,0,0,0,0,0,0,0,0,0,35,244,0,13,0
2,1,13000,9974,10000,1,0,0,0,1,0,0,0,1,0,0,1339,0,1,0,0,0,5811,5811,0,0,0,3.5,0,0
2,0,2737,2105,2105,0,0,0,0,1,0,0,0,0,0,1664,1664,1,1,0,0,0,0,0,0,0,0,4.5,0,0
3,0,0,50708,51579,0,12,0,0,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,1,5263,5263,5263,1,0,3,89,0,1,2,30,1,0,7639,11305,3,5,0,0,0,0,0,0,24,47,0,14.25,0
1,0,0,3158,10526,0,15,11,238,0,3,0,22,0,1,702,1607,2,4,0,0,0,0,0,0,87,699,3.38,0,0
2,0,0,5331,5263,0,0,0,0,1,0,5,0,0,0,526,526,1,1,0,0,0,0,0,0,0,0,5,0,0
2,0,0,5304,5263,0,0,0,0,1,0,5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3.5,0,0
2,0,13684,10575,10526,0,0,0,0,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
1,3,0,3158,5263,1,0,2,23,0,1,0,12,1,0,0,0,0,0,0,0,0,0,0,0,213,213,6.5,0,0
2,0,0,4254,5263,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0
2,0,0,5168,5263,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
2,0,0,5252,5263,0,0,0,0,1,1,0,0,0,0,1644,1648,2,3,0,0,0,0,0,0,0,0,5,14.25,0
2,4,0,4207,4211,3,4,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0
2,0,13684,10617,10526,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,2105,2105,0,0,0,4,0,0
1,1,0,10526,10526,1,1,5,51,0,1,0,10,1,1,0,0,0,0,0,0,0,0,0,0,27,106,0,14.25,1
1,0,1398,1788,2105,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,12.5,0
1,0,0,10526,10526,0,0,2,95,0,1,0,48,0,0,0,0,0,0,0,0,0,0,0,0,24,24,4,0,0
1,14,0,10526,10526,1,0,8,78,0,1,0,10,1,0,0,0,0,0,0,0,0,547,547,0,51,360,0,14.25,1
2,0,0,2634,5263,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0
1,0,0,31579,52632,0,2,14,170,0,2,0,12,0,1,0,0,0,0,0,0,0,0,0,0,52,624,5.5,14.75,0
2,0,6842,2395,5263,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0
2,0,0,5311,5263,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
1,0,15789,10526,10526,0,0,6,65,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,75,375,0,14.25,0
1,0,0,2105,3158,0,1,5,132,0,1,0,26,0,1,0,0,0,0,0,0,0,0,0,0,74,297,5,0,0
1,0,5263,5263,5263,0,0,3,47,0,1,0,16,0,0,0,737,0,1,0,0,0,0,0,0,25,49,4,0,0
2,0,0,5557,6105,0,6,10,10,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,106,846,3.69,0,0
2,0,0,3150,3474,0,4,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0
1,0,0,5263,5263,0,1,1,82,0,1,0,82,0,1,178,213,1,2,0,0,0,0,0,0,0,0,3.5,0,0
2,0,0,4344,5263,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0
2,0,2737,2123,2105,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0
2,0,9579,7434,7368,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,7832,7832,0,0,0,3.5,0,0
1,0,0,6316,10526,0,0,11,138,0,1,0,13,0,0,0,88,0,1,0,0,0,0,0,0,29,292,3.5,0,0
2,0,0,728,5263,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0
1,0,0,54737,57895,0,0,11,171,0,3,0,16,0,0,338,528,1,2,0,0,54737,0,54737,0,65,587,2,13.89,1
1,0,17368,10526,10526,0,0,5,169,0,1,12,34,0,0,0,0,0,0,0,0,0,0,0,0,52,209,4.5,0,0
2,0,27368,10626,10526,0,0,0,0,1,0,5,0,0,0,628,628,2,2,0,0,0,0,0,0,0,0,4.5,0,0
1,0,0,3158,3158,0,0,4,281,0,1,0,70,0,0,0,0,0,0,0,0,0,0,0,0,51,152,5,0,0
1,0,24211,10526,10526,0,0,8,90,0,1,26,11,0,0,0,0,0,0,0,0,0,6518,6518,0,27,187,2,0,0
2,0,13684,2420,5263,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0
1,0,0,5263,5263,0,0,1,167,0,1,0,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0
2,0,6842,5139,5263,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0
2,0,0,4332,5263,0,0,0,0,1,0,0,0,0,0,81,81,1,1,0,0,0,0,0,0,0,0,4,0,0
1,0,0,16842,21053,0,2,7,75,0,2,0,11,0,1,0,2428,0,1,0,0,0,5380,5380,0,98,489,4.75,0,0
1,0,0,5263,5263,0,0,5,277,0,1,0,55,0,0,0,0,0,0,0,0,0,4000,4000,0,22,86,4.5,0,0
1,0,0,5263,5263,0,0,2,30,0,1,0,15,0,0,0,0,0,0,0,0,0,0,0,0,107,107,0,14.25,0
1,5,0,11690,14842,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25,12.5,0
1,0,0,4211,10526,0,2,2,203,0,1,0,102,0,1,0,0,0,0,0,0,0,0,0,0,44,44,5.5,0,0
1,0,5263,5263,5263,0,1,6,92,0,1,26,15,1,1,690,1407,2,4,0,0,0,3052,3052,0,50,252,2,0,0
1,0,0,6053,6632,0,0,1,3,0,1,0,3,0,0,1983,1983,1,1,0,0,0,0,0,0,0,0,4,0,0
3,0,0,10526,10526,0,2,0,0,1,1,0,0,0,1,493,493,1,1,0,0,0,0,0,0,0,0,3.5,13.75,0
3,0,0,14989,18526,0,4,5,77,2,2,0,15,0,1,0,0,0,0,0,0,0,9159,9159,0,66,264,2.79,14.25,0
2,0,13411,10424,9474,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,6568,6568,0,0,0,5,0,0
1,5,0,21053,21053,1,0,2,140,0,1,0,70,1,0,0,0,0,0,0,0,0,0,0,0,31,31,0,14.25,1
1,0,10526,8421,10526,0,0,7,117,0,1,2,17,0,0,0,889,0,3,0,0,0,0,0,0,25,149,5.5,0,0
2,0,0,338,1053,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0
2,0,0,5263,5263,0,0,2,122,1,1,0,61,0,0,1017,1991,2,4,0,0,24632,0,24632,0,279,279,4.5,13.4,0
1,0,0,10526,10526,0,0,5,555,0,1,0,111,0,0,0,0,0,0,0,0,0,6712,6712,0,29,115,2,0,1
2,0,0,0,5263,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
1,0,0,2728,5263,0,0,14,240,0,1,25,17,1,0,0,0,0,0,0,0,0,0,0,0,16,202,0,13,0
2,0,13684,2922,10526,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6053,6053,0,0,0,4,0,0
2,0,0,3720,10526,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,13684,13684,0,0,0,4,0,0
1,0,0,21053,21053,0,0,3,41,0,1,0,14,0,0,1005,1005,2,2,0,0,41053,0,41053,0,58,116,0,13.75,0
1,0,53474,10526,10526,0,0,3,497,0,1,37,166,0,0,0,0,0,0,0,0,0,263,263,0,26,52,5,0,0
2,0,13684,10139,10526,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0
1,0,0,8947,10526,0,0,11,164,0,1,0,15,0,0,0,0,0,0,0,0,0,0,0,0,31,306,6.5,0,0
1,0,0,6316,10526,0,1,5,133,0,1,0,27,0,1,499,499,1,1,0,0,0,0,0,0,77,307,5.5,0,0
1,0,0,5263,5263,0,0,4,254,0,1,0,64,0,0,0,0,0,0,0,0,0,3570,3570,0,52,155,2,0,0
1,16,0,31579,31579,2,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,116842,0,116842,0,0,0,2.79,13.5,1
1,0,0,1053,1053,0,0,4,326,0,1,0,82,0,0,0,0,0,0,0,0,0,0,0,0,26,79,6,0,0
1,0,0,10526,10526,0,0,1,185,0,1,0,185,0,0,1659,3541,3,6,0,0,0,7877,7877,0,0,0,2,0,0
1,0,0,21053,21053,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,27368,0,27368,0,0,0,4,13.75,0
2,0,2737,2126,2105,0,1,0,0,1,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0
3,0,0,11546,11579,0,0,7,175,1,1,0,25,0,0,514,1882,1,3,0,0,0,5729,5729,0,48,285,2.14,0,0
2,0,0,5301,5263,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
1,0,5263,10526,10526,0,0,1,4,0,2,11,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.75,0,0
2,0,8632,4095,4211,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0
1,0,0,8421,10526,0,0,7,217,0,1,0,31,0,0,0,0,0,0,0,0,0,0,0,0,29,173,0,13.75,0
1,0,0,7368,10526,0,1,5,174,0,1,0,35,0,1,0,0,0,1,0,0,0,0,0,0,54,215,4,0,0
1,0,10526,10526,10526,0,0,7,211,0,1,23,30,0,0,0,0,0,0,0,0,0,0,0,0,29,174,4,0,0
1,0,0,13684,13684,0,3,3,71,0,1,0,24,0,1,4902,4902,2,2,0,0,0,0,0,0,30,59,0,13.75,0
3,0,11053,22965,25263,0,6,1,1,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.35,0,0
1,0,0,5263,5263,0,0,2,47,0,1,30,24,1,0,6,1029,1,3,0,0,0,0,0,0,43,43,4,0,0
2,0,6842,2093,2105,0,0,0,0,1,0,0,0,1,0,860,1998,1,2,0,0,0,0,0,0,0,0,4,0,0
3,0,10526,15562,15789,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.67,0,0
2,0,0,5194,5263,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
2,0,0,811,1053,0,0,0,0,1,0,0,0,0,0,262,262,1,1,0,0,0,0,0,0,0,0,3.5,0,0
1,0,0,5263,5263,0,0,0,0,0,1,0,0,0,0,518,518,1,1,0,0,0,0,0,0,0,0,4,0,0
2,0,0,199,316,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,13684,6271,10526,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0
3,0,0,40686,45263,0,2,3,133,1,1,0,44,0,1,0,0,0,0,0,0,0,0,0,0,28,55,4.5,14,0
1,0,0,10526,10526,0,0,5,74,0,1,0,15,0,0,0,0,0,0,0,0,0,0,0,0,58,232,0,13.75,0
1,0,0,10526,10526,0,0,4,15,0,2,0,4,0,0,762,1459,1,2,0,0,13684,0,13684,0,27,81,0,13.59,0
1,1,0,10526,10526,1,0,5,124,0,1,0,25,1,0,0,0,0,0,0,0,0,0,11579,0,55,220,0,13.75,1
2,0,0,9682,10526,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
2,0,0,5131,5263,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0
1,0,6316,6316,10526,0,0,4,255,0,1,27,64,0,0,0,0,0,0,0,0,0,0,0,0,30,89,5,0,0
2,1,0,4440,5263,1,0,0,0,1,0,0,0,1,0,553,553,1,1,0,0,0,0,0,0,0,0,4,0,1
2,0,0,852,1053,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
2,0,27368,10579,10526,0,0,0,0,1,0,5,0,0,0,0,414,0,1,0,0,0,2368,2368,0,0,0,3.5,0,0
2,0,10811,4967,5158,0,3,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0
1,0,3158,3158,3158,0,0,8,73,0,1,23,9,0,0,158,170,2,3,0,0,0,0,0,0,41,284,0,14.25,0
2,1,0,10526,10526,1,2,0,0,1,0,0,0,1,1,103,435,1,2,0,0,0,5263,5263,0,0,0,4,0,0
2,0,0,5305,5263,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
2,0,24632,10600,10526,0,1,0,0,1,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7.5,0,0
1,0,54737,21053,21053,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11658,11658,0,0,0,2,0,0
1,0,0,12632,12632,0,0,0,0,0,1,0,0,0,0,179,179,1,1,0,0,0,0,12632,0,0,0,3.5,0,0
2,0,0,5210,5263,0,0,0,0,1,0,0,0,0,0,36,36,1,1,0,0,0,0,0,0,0,0,4.5,0,0
2,0,0,763,5263,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0
1,0,0,3849,5263,0,0,7,85,0,1,0,12,0,0,1035,1553,2,3,0,0,0,0,0,0,19,113,4,0,0
2,0,4105,3006,3158,0,2,0,0,1,0,0,0,1,1,1014,1058,1,2,0,0,0,0,0,0,0,0,3.5,0,0
1,0,0,42105,42105,0,0,8,189,0,3,0,24,0,0,0,0,0,0,0,0,0,0,0,0,109,545,4.13,0,0
2,0,0,20873,21053,0,2,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0
1,0,0,5263,6316,0,0,16,382,0,2,0,24,0,0,0,0,0,0,0,0,0,0,0,0,32,448,3.88,0,1
2,0,13684,4972,5263,0,6,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
2,0,0,5316,5263,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
2,0,4105,3186,3158,0,0,0,0,1,0,5,0,0,0,122,192,1,2,0,0,0,0,0,0,0,0,3.5,0,0
1,0,0,10526,10526,0,0,0,0,0,1,0,0,0,0,764,1490,1,2,0,0,0,0,0,0,0,0,0,13.75,0
1,39,0,10526,15789,15,0,4,6,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,135,404,4.5,0,0
1,46,0,42105,42105,1,4,2,65,0,1,0,33,1,1,0,0,0,0,0,0,0,0,0,0,31,31,6,0,1
2,0,2632,7359,8421,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
1,0,10526,10526,10526,0,0,3,224,0,1,14,75,0,0,0,0,0,0,0,0,0,5778,5778,0,25,49,2,0,0
2,32,0,5241,5263,2,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
1,0,0,15053,26316,0,0,12,178,0,2,0,15,0,0,0,147,0,1,0,0,34737,0,34737,0,66,656,5.4,0,0
1,0,0,10526,10526,0,0,0,0,0,1,0,0,0,0,0,3439,0,1,0,0,0,0,0,0,0,0,5.5,0,0
1,0,10526,10526,10526,0,0,0,0,0,1,18,0,0,0,54,54,1,1,0,0,0,2947,2947,0,0,0,2,0,0
